rk,player,squad,nation,pos,primary_pos,age,ninetys,tag
1193,Nicolò Zaniolo,Atalanta,ITA,"FW,MF",FW,25,4.0,segundo_atacante
1194,Alessandro Zanoli,Genoa,ITA,"FW,DF",FW,23,19.0,ponta_dribllador
1195,Duván Zapata,Torino,COL,FW,FW,33,6.5,centroavante_goleador
1196,Gabriele Zappa,Cagliari,ITA,DF,DF,24,34.0,zagueiro_construtor
1197,Davide Zappacosta,Atalanta,ITA,DF,DF,32,23.0,zagueiro_construtor
1198,Oier Zarraga,Udinese,ESP,MF,MF,25,10.0,volante_defensivo
1199,Jordan Zemura,Udinese,ZIM,DF,DF,24,15.7,lateral_ofensivo
1200,Alessio Zerbin,Venezia,ITA,DF,DF,25,16.9,lateral_ofensivo
1201,Alessio Zerbin,Napoli,ITA,"FW,DF",FW,25,0.0,centroavante_goleador
1202,Kevin Zeroli,Monza,ITA,MF,MF,19,4.4,meia_criativo
1203,Kevin Zeroli,Milan,ITA,MF,MF,19,0.1,volante_defensivo
1204,Piotr Zieliński,Inter,POL,MF,MF,30,10.9,box_to_box
1205,Nadir Zortea,Cagliari,ITA,"DF,MF",DF,25,30.1,lateral_ofensivo
1206,Szymon Żurkowski,Empoli,POL,MF,MF,26,1.2,volante_defensivo
1207,Milan Đurić,Monza,BIH,FW,FW,34,14.1,centroavante_goleador
1208,Milan Đurić,Parma,BIH,FW,FW,34,3.0,centroavante_goleador
1209,Junior Adamu,Freiburg,AUT,FW,FW,23,17.2,segundo_atacante
1210,Karim Adeyemi,Dortmund,GER,"FW,MF",FW,22,15.9,ponta_dribllador
1211,Amine Adli,Leverkusen,MAR,"MF,FW",MF,24,8.5,box_to_box
1212,Oladapo Afolayan,St. Pauli,ENG,"FW,MF",FW,26,18.2,ponta_dribllador
1213,Felix Agu,Werder Bremen,NGA,DF,DF,24,19.5,lateral_ofensivo
1214,Erik Ahlstrand,St. Pauli,SWE,"FW,MF",FW,22,0.5,centroavante_goleador
1215,Kevin Akpoguma,Hoffenheim,NGA,DF,DF,29,24.7,zagueiro_construtor
1216,Andreas Albers,St. Pauli,DEN,FW,FW,34,0.7,centroavante_goleador
1217,Ben Alexander Voll,St. Pauli,GER,GK,GK,23,1.0,goleiro_joia
1218,Skelly Alvero,Werder Bremen,FRA,MF,MF,22,2.6,volante_defensivo
1219,Aurele Amenda,Eint Frankfurt,SUI,DF,DF,21,1.1,zagueiro_classico
1220,Nadiem Amiri,Mainz 05,GER,MF,MF,27,27.5,box_to_box
1221,Mohamed Amoura,Wolfsburg,ALG,FW,FW,24,27.4,ponta_dribllador
1222,Robert Andrich,Leverkusen,GER,"MF,DF",MF,29,17.8,volante_defensivo
1223,Waldemar Anton,Dortmund,GER,DF,DF,28,21.7,zagueiro_construtor
1224,Maximilian Arnold,Wolfsburg,GER,MF,MF,30,26.2,volante_defensivo
1225,Jann-Fiete Arp,Holstein Kiel,GER,"FW,MF",FW,24,7.9,centroavante_goleador
1226,Arthur,Leverkusen,BRA,DF,DF,21,8.4,lateral_ofensivo
1227,Noah Atubolu,Freiburg,GER,GK,GK,22,25.6,goleiro_joia
1228,Ayman Azhil,Dortmund,MAR,MF,MF,23,0.3,volante_defensivo
1229,Adam Aznou,Bayern Munich,MAR,DF,DF,18,0.2,zagueiro_classico
1230,Aliou Badara Baldé,Bochum,GUI,"MF,FW",MF,21,1.0,meia_criativo
1231,Ridle Baku,Wolfsburg,GER,"FW,MF",FW,26,13.0,ponta_dribllador
1232,Ridle Baku,RB Leipzig,GER,"DF,MF",DF,26,14.2,lateral_ofensivo
1233,Samuel Bamba,Bochum,GER,"FW,MF",FW,20,0.3,centroavante_goleador
1234,Noahkai Banks,Augsburg,USA,DF,DF,17,3.1,zagueiro_classico
1235,Scott Banks,St. Pauli,SCO,"FW,MF",FW,22,1.3,centroavante_goleador
1236,Aymen Barkok,Mainz 05,MAR,MF,MF,26,0.8,volante_defensivo
1237,Michy Batshuayi,Eint Frankfurt,BEL,FW,FW,30,3.3,centroavante_goleador
1238,Maximilian Bauer,Augsburg,GER,DF,DF,24,7.3,zagueiro_classico
1239,Oliver Baumann,Hoffenheim,GER,GK,GK,34,28.0,goleiro_titular
1240,Christoph Baumgartner,RB Leipzig,AUT,MF,MF,24,17.9,box_to_box
1241,Ihlas Bebou,Hoffenheim,TOG,MF,MF,30,0.1,volante_defensivo
1242,Adrian Beck,Heidenheim,GER,"MF,FW",MF,27,17.8,box_to_box
1243,Timo Becker,Holstein Kiel,GER,DF,DF,27,27.2,lateral_ofensivo
1244,Hannes Behrens,Hoffenheim,GER,DF,DF,20,0.3,zagueiro_classico
1245,Kevin Behrens,Wolfsburg,GER,FW,FW,33,1.9,centroavante_goleador
1246,Maximilian Beier,Dortmund,GER,"FW,MF",FW,21,17.7,ponta_dribllador
1247,Stefan Bell,Mainz 05,GER,DF,DF,32,16.0,zagueiro_classico
1248,Jeanuël Belocian,Leverkusen,FRA,"DF,MF",DF,19,0.8,zagueiro_classico
1249,László Bénes,Union Berlin,SVK,"MF,FW",MF,26,6.5,meia_criativo
1250,Ramy Bensebaini,Dortmund,ALG,DF,DF,29,22.5,lateral_ofensivo
1251,Mergim Berisha,Hoffenheim,GER,"FW,MF",FW,26,3.7,segundo_atacante
1252,Mergim Berisha,Augsburg,GER,FW,FW,26,0.4,centroavante_goleador
1253,Bernardo,Bochum,BRA,DF,DF,29,19.8,zagueiro_construtor
1254,Alexander Bernhardsson,Holstein Kiel,SWE,"FW,MF",FW,25,14.0,centroavante_goleador
1255,Matúš Bero,Bochum,SVK,MF,MF,28,28.5,volante_defensivo
1256,Jan-Niklas Beste,Freiburg,GER,"FW,MF",FW,25,2.4,segundo_atacante
1257,El Bilal Touré,Stuttgart,MLI,"FW,MF",FW,22,4.0,segundo_atacante
1258,Tom Bischof,Hoffenheim,GER,"MF,FW",MF,19,28.4,box_to_box
1259,Leonardo Bittencourt,Werder Bremen,GER,MF,MF,30,10.9,box_to_box
1260,Myron Boadu,Bochum,NED,FW,FW,23,11.6,centroavante_goleador
1261,Sacha Boey,Bayern Munich,FRA,DF,DF,23,6.6,lateral_ofensivo
1262,Victor Boniface,Leverkusen,NGA,FW,FW,23,11.2,centroavante_goleador
1263,Sebastiaan Bornauw,Wolfsburg,BEL,DF,DF,25,8.8,zagueiro_classico
1264,Carlo Boukhalfa,St. Pauli,MAR,MF,MF,25,18.3,volante_defensivo
1265,Julian Brandt,Dortmund,GER,MF,MF,28,25.6,box_to_box
1266,Tim Breithaupt,Augsburg,GER,MF,MF,22,1.3,meia_criativo
1267,Maximilian Breunig,Heidenheim,GER,"FW,MF",FW,23,3.9,centroavante_goleador
1268,Moritz Broschinski,Bochum,GER,"FW,MF",FW,23,15.4,ponta_dribllador
1269,Nathaniel Brown,Eint Frankfurt,GER,"DF,MF",DF,21,21.6,lateral_ofensivo
1270,Jacob Bruun Larsen,Hoffenheim,DEN,"FW,MF",FW,25,4.4,segundo_atacante
1271,Jacob Bruun Larsen,Stuttgart,DEN,"MF,FW",MF,25,4.6,meia_criativo
1272,Emi Buendía,Leverkusen,ARG,MF,MF,27,2.9,meia_criativo
1273,Marius Bülter,Hoffenheim,GER,"FW,DF",FW,31,19.2,ponta_dribllador
1274,Jonathan Burkardt,Mainz 05,GER,FW,FW,24,23.4,centroavante_goleador
1275,Oliver Burke,Werder Bremen,SCO,FW,FW,27,10.1,centroavante_goleador
1276,Marnon Busch,Heidenheim,GER,"DF,MF",DF,29,15.5,zagueiro_construtor
1277,Anthony Caci,Mainz 05,FRA,DF,DF,27,29.8,lateral_ofensivo
1278,Cole Campbell,Dortmund,USA,"MF,FW",MF,18,0.2,volante_defensivo
1279,Emre Can,Dortmund,GER,"DF,MF",DF,30,23.4,zagueiro_construtor
1280,Tiago Cardoso,Gladbach,LUX,GK,GK,18,4.2,goleiro_joia
1281,Abdoulie Ceesay,St. Pauli,GAM,FW,FW,20,0.7,centroavante_goleador
1282,Julian Chabot,Stuttgart,GER,DF,DF,26,25.2,zagueiro_construtor
1283,El Chadaille Bitshiabu,RB Leipzig,FRA,DF,DF,19,12.6,zagueiro_classico
1284,Fares Chaïbi,Eint Frankfurt,ALG,"MF,FW",MF,21,11.3,meia_criativo
1285,Timothy Chandler,Eint Frankfurt,USA,DF,DF,34,0.3,zagueiro_classico
1286,Anrie Chase,Stuttgart,JPN,DF,DF,20,8.2,zagueiro_classico
1287,Arthur Chaves,Hoffenheim,BRA,DF,DF,23,24.3,zagueiro_classico
1288,Fabio Chiarodia,Gladbach,ITA,DF,DF,19,4.2,zagueiro_classico
1289,Carney Chukwuemeka,Dortmund,ENG,MF,MF,20,2.8,meia_criativo
1290,Alexis Claude-Maurice,Augsburg,FRA,"MF,FW",MF,26,23.4,box_to_box
1291,Nnamdi Collins,Eint Frankfurt,GER,DF,DF,20,16.5,zagueiro_construtor
1292,Kingsley Coman,Bayern Munich,FRA,FW,FW,28,14.2,ponta_dribllador
1293,Sirlord Conteh,Heidenheim,GER,"FW,MF",FW,28,9.9,ponta_dribllador
1294,Danny da Costa,Mainz 05,GER,DF,DF,31,22.3,zagueiro_construtor
1295,Yan Couto,Dortmund,BRA,"DF,FW",DF,22,9.9,zagueiro_construtor
1296,Tomáš Čvančara,Gladbach,CZE,FW,FW,23,9.2,centroavante_goleador
1297,Finn Dahmen,Augsburg,GER,GK,GK,26,19.0,goleiro_joia
1298,Thomas Dähne,Holstein Kiel,GER,GK,GK,30,9.0,goleiro_reserva
1299,Mahmoud Dahoud,Eint Frankfurt,GER,MF,MF,28,4.0,meia_criativo
1300,Ameen Al-Dakhil,Stuttgart,BEL,DF,DF,22,4.8,zagueiro_classico
1301,Bence Dárdai,Wolfsburg,HUN,MF,MF,18,14.5,volante_defensivo
1302,Lukas Daschner,Bochum,GER,"MF,FW",MF,25,4.6,meia_criativo
1303,Alphonso Davies,Bayern Munich,CAN,DF,DF,23,17.3,zagueiro_construtor
1304,Olivier Deman,Werder Bremen,BEL,DF,DF,24,0.7,zagueiro_classico
1305,Ermedin Demirović,Stuttgart,BIH,FW,FW,26,20.6,centroavante_goleador
1306,Justin Diehl,Stuttgart,GER,"FW,DF",FW,19,1.2,centroavante_goleador
1307,Eric Dier,Bayern Munich,ENG,DF,DF,30,16.3,zagueiro_construtor
1308,Junior Dina Ebimbe,Eint Frankfurt,FRA,"MF,FW",MF,23,3.3,meia_criativo
1309,Eren Dinkçi,Freiburg,GER,"MF,FW",MF,22,13.3,box_to_box
1310,Ritsu Doan,Freiburg,JPN,"FW,MF",FW,26,31.8,ponta_dribllador
1311,Danilho Doekhi,Union Berlin,NED,DF,DF,26,34.0,zagueiro_construtor
1312,Niklas Dorsch,Augsburg,GER,MF,MF,26,0.4,volante_defensivo
1313,Niklas Dorsch,Heidenheim,GER,MF,MF,26,14.8,volante_defensivo
1314,Patrick Drewes,Bochum,GER,GK,GK,31,21.0,goleiro_titular
1315,Tim Drexler,Hoffenheim,GER,DF,DF,19,4.0,zagueiro_classico
1316,Marvin Ducksch,Werder Bremen,GER,FW,FW,30,26.9,ponta_dribllador
1317,Julien Duranville,Dortmund,BEL,"FW,MF",FW,18,3.1,ponta_dribllador
1318,Adam Dźwigała,St. Pauli,POL,"DF,MF",DF,28,4.1,zagueiro_classico
1319,Johannes Eggestein,St. Pauli,GER,FW,FW,26,20.6,ponta_dribllador
1320,Maximilian Eggestein,Freiburg,GER,MF,MF,27,31.6,volante_defensivo
1321,Hugo Ekitike,Eint Frankfurt,FRA,FW,FW,22,28.5,ponta_dribllador
1322,Elif Elmas,RB Leipzig,MKD,MF,MF,24,0.5,meia_criativo
1323,Nico Elvedi,Gladbach,SUI,DF,DF,27,23.7,zagueiro_construtor
1324,Arne Engels,Augsburg,BEL,"MF,FW",MF,20,0.9,meia_criativo
1325,Patrick Erras,Holstein Kiel,GER,DF,DF,29,9.2,zagueiro_classico
1326,Samuel Essende,Augsburg,COD,FW,FW,26,18.2,ponta_dribllador
1327,Frank Feller,Heidenheim,GER,GK,GK,20,1.3,goleiro_joia
1328,Kilian Fischer,Wolfsburg,GER,DF,DF,23,25.5,zagueiro_construtor
1329,Jonas Föhrenbach,Heidenheim,GER,DF,DF,28,20.4,zagueiro_construtor
1330,Marco Friedl,Werder Bremen,AUT,DF,DF,26,24.0,zagueiro_classico
1331,Marvin Friedrich,Gladbach,GER,DF,DF,28,11.0,zagueiro_classico
1332,Jeremie Frimpong,Leverkusen,NED,"DF,MF",DF,23,25.7,lateral_ofensivo
1333,Chris Führich,Stuttgart,GER,"MF,FW",MF,26,22.0,box_to_box
1334,Shiō Fukuda,Gladbach,JPN,FW,FW,20,0.7,centroavante_goleador
1335,Cristian Gamboa,Bochum,CRC,DF,DF,34,2.5,zagueiro_classico
1336,Aleix García,Leverkusen,ESP,MF,MF,27,16.2,box_to_box
1337,Viggo Gebel,RB Leipzig,GER,MF,MF,16,0.2,volante_defensivo
1338,Lutsharel Geertruida,RB Leipzig,NED,DF,DF,24,17.3,zagueiro_construtor
1339,Dennis Geiger,Hoffenheim,GER,"MF,FW",MF,26,8.2,volante_defensivo
1340,Valentin Gendrey,Hoffenheim,FRA,DF,DF,24,15.7,lateral_ofensivo
1341,Yannick Gerhardt,Wolfsburg,GER,"MF,DF",MF,30,16.9,volante_defensivo
1342,Max Geschwill,Holstein Kiel,GER,DF,DF,23,14.2,lateral_ofensivo
1343,Dimitris Giannoulis,Augsburg,GRE,DF,DF,28,29.4,lateral_ofensivo
1344,Armin Gigovic,Holstein Kiel,BIH,MF,MF,22,21.1,box_to_box
1345,Benedikt Gimber,Heidenheim,GER,DF,DF,27,29.7,zagueiro_classico
1346,Matthias Ginter,Freiburg,GER,DF,DF,30,28.5,zagueiro_construtor
1347,Jamie Gittens,Dortmund,ENG,"FW,MF",FW,19,19.7,ponta_dribllador
1348,Serge Gnabry,Bayern Munich,GER,"FW,MF",FW,29,13.8,ponta_dribllador
1349,Tidiam Gomis,RB Leipzig,FRA,"MF,FW",MF,17,1.7,meia_criativo
1350,Leon Goretzka,Bayern Munich,GER,"MF,DF",MF,29,14.7,box_to_box
1351,Robin Gosens,Union Berlin,GER,DF,DF,30,1.0,zagueiro_classico
1352,Mario Götze,Eint Frankfurt,GER,"MF,FW",MF,32,17.1,box_to_box
1353,Jeffrey Gouweleeuw,Augsburg,NED,DF,DF,33,32.7,zagueiro_construtor
1354,Kamil Grabara,Wolfsburg,POL,GK,GK,25,28.7,goleiro_joia
1355,Michael Gregoritsch,Freiburg,AUT,FW,FW,30,7.1,centroavante_goleador
1356,Vincenzo Grifo,Freiburg,ITA,"FW,MF",FW,31,27.0,ponta_dribllador
1357,Florian Grillitsch,Hoffenheim,AUT,MF,MF,28,6.7,volante_defensivo
1358,Álex Grimaldo,Leverkusen,ESP,DF,DF,28,29.3,lateral_ofensivo
1359,Pascal Groß,Dortmund,GER,"MF,DF",MF,33,25.9,box_to_box
1360,Marco Grüll,Werder Bremen,AUT,"FW,MF",FW,26,13.1,centroavante_goleador
1361,Raphaël Guerreiro,Bayern Munich,POR,"DF,MF",DF,30,17.5,lateral_ofensivo
1362,Morgan Guilavogui,St. Pauli,GUI,"FW,MF",FW,26,20.1,ponta_dribllador
1363,Serhou Guirassy,Dortmund,GUI,FW,FW,28,28.9,centroavante_goleador
1364,Péter Gulácsi,RB Leipzig,HUN,GK,GK,34,29.2,goleiro_titular
1365,Robert Gumny,Augsburg,POL,DF,DF,26,3.0,zagueiro_classico
1366,Christian Günter,Freiburg,GER,DF,DF,31,25.7,lateral_ofensivo
1367,Janik Haberer,Union Berlin,GER,"MF,DF",MF,30,18.8,volante_defensivo
1368,Robin Hack,Gladbach,GER,"FW,MF",FW,25,24.1,ponta_dribllador
1369,Amadou Haidara,RB Leipzig,MLI,MF,MF,26,14.7,volante_defensivo
1370,Andreas Hanche-Olsen,Mainz 05,NOR,DF,DF,27,14.3,zagueiro_classico
1371,Phil Harres,Holstein Kiel,GER,FW,FW,22,17.2,centroavante_goleador
1372,Ramon Hendriks,Stuttgart,NED,DF,DF,23,12.8,lateral_ofensivo
1373,Paul Hennrich,Hoffenheim,GER,MF,MF,19,0.1,volante_defensivo
1374,Benjamin Henrichs,RB Leipzig,GER,DF,DF,27,10.4,lateral_ofensivo
1375,Mario Hermoso,Leverkusen,ESP,DF,DF,29,3.3,zagueiro_classico
1376,Piero Hincapié,Leverkusen,ECU,DF,DF,22,29.7,zagueiro_construtor
1377,Adam Hložek,Hoffenheim,CZE,"FW,MF",FW,22,20.8,ponta_dribllador
1378,Nicolas Höfler,Freiburg,GER,MF,MF,34,8.8,volante_defensivo
1379,Jonas Hofmann,Leverkusen,GER,"MF,DF",MF,32,4.0,meia_criativo
1380,Philipp Hofmann,Bochum,GER,FW,FW,31,25.3,ponta_dribllador
1381,Lucas Höler,Freiburg,GER,"FW,MF",FW,30,20.7,ponta_dribllador
1382,Benedict Hollerbach,Union Berlin,GER,"FW,MF",FW,23,28.2,ponta_dribllador
1383,Lewis Holtby,Holstein Kiel,GER,MF,MF,33,13.8,volante_defensivo
1384,Gerrit Holtmann,Bochum,PHI,"DF,FW",DF,29,12.6,lateral_ofensivo
1385,Franck Honorat,Gladbach,FRA,FW,FW,27,16.0,ponta_dribllador
1386,Mathias Honsak,Heidenheim,AUT,"FW,DF",FW,27,13.1,ponta_dribllador
1387,Timo Horn,Bochum,GER,GK,GK,31,13.0,goleiro_reserva
1388,Lukáš Hrádecký,Leverkusen,FIN,GK,GK,34,29.0,goleiro_titular
1389,Robin Hranáč,Hoffenheim,CZE,DF,DF,24,2.4,zagueiro_classico
1390,Hong Hyunseok,Mainz 05,KOR,MF,MF,25,5.9,meia_criativo
1391,Oscar Højlund,Eint Frankfurt,DEN,MF,MF,19,8.0,box_to_box
1392,Arijon Ibrahimović,Bayern Munich,GER,FW,FW,18,0.0,centroavante_goleador
1393,Andrej Ilic,Union Berlin,SRB,FW,FW,24,10.4,centroavante_goleador
1394,Jackson Irvine,St. Pauli,AUS,MF,MF,31,29.0,volante_defensivo
1395,Ko Itakura,Gladbach,JPN,DF,DF,27,31.0,zagueiro_classico
1396,Hiroki Ito,Bayern Munich,JPN,DF,DF,25,2.8,zagueiro_classico
1397,Marko Ivezić,Holstein Kiel,SRB,DF,DF,22,18.4,zagueiro_classico
1398,Lee Jae-sung,Mainz 05,KOR,MF,MF,31,29.4,box_to_box
1399,Kristijan Jakić,Augsburg,CRO,MF,MF,27,25.6,volante_defensivo
1400,Luca Jaquez,Stuttgart,SUI,DF,DF,21,2.8,zagueiro_classico
1401,Dominik Javorček,Holstein Kiel,SVK,"DF,MF",DF,21,4.3,lateral_ofensivo
1402,Finn Jeltsch,Stuttgart,GER,DF,DF,18,8.7,zagueiro_classico
1403,Fredrik Jensen,Augsburg,FIN,MF,MF,26,8.5,volante_defensivo
1404,Moritz Jenz,Mainz 05,GER,DF,DF,25,17.8,zagueiro_classico
1405,Carl Johansson,Holstein Kiel,SWE,DF,DF,30,6.3,zagueiro_classico
1406,Anthony Jung,Werder Bremen,GER,DF,DF,32,21.1,zagueiro_construtor
1407,Josip Juranović,Union Berlin,CRO,"DF,MF",DF,28,12.9,lateral_ofensivo
1408,David Jurásek,Hoffenheim,CZE,DF,DF,23,6.9,lateral_ofensivo
1409,Yusuf Kabadayı,Augsburg,GER,"FW,MF",FW,20,0.8,centroavante_goleador
1410,Almugera Kabar,Dortmund,GER,DF,DF,18,1.5,zagueiro_classico
1411,Issa Kaboré,Werder Bremen,BFA,"DF,FW",DF,23,3.4,zagueiro_classico
1412,Pavel Kadeřábek,Hoffenheim,CZE,DF,DF,32,17.5,lateral_ofensivo
1413,Jakub Kamiński,Wolfsburg,POL,"DF,MF",DF,22,12.6,lateral_ofensivo
1414,Kevin Kampl,RB Leipzig,SVN,MF,MF,33,17.7,volante_defensivo
1415,Harry Kane,Bayern Munich,ENG,FW,FW,31,26.5,centroavante_goleador
1416,Atakan Karazor,Stuttgart,TUR,MF,MF,27,29.1,volante_defensivo
1417,Mikkel Kaufmann,Heidenheim,DEN,FW,FW,23,4.1,centroavante_goleador
1418,Yannik Keitel,Stuttgart,GER,MF,MF,24,3.0,volante_defensivo
1419,Andu Kelati,Holstein Kiel,GER,"MF,DF",MF,21,3.2,meia_criativo
1420,Thomas Keller,Heidenheim,GER,"DF,MF",DF,24,1.6,zagueiro_classico
1421,Aljoscha Kemlein,Union Berlin,GER,MF,MF,19,10.2,volante_defensivo
1422,Luca Kerber,Heidenheim,GER,"MF,DF",MF,22,8.7,volante_defensivo
1423,Rani Khedira,Union Berlin,GER,MF,MF,30,30.3,volante_defensivo
1424,Joshua Kimmich,Bayern Munich,GER,MF,MF,29,31.6,box_to_box
1425,Tim Kleindienst,Gladbach,GER,FW,FW,28,30.4,ponta_dribllador
1426,Lukas Klostermann,RB Leipzig,GER,DF,DF,28,20.4,zagueiro_construtor
1427,Ansgar Knauff,Eint Frankfurt,GER,"MF,DF",MF,22,17.7,box_to_box
1428,Magnus Knudsen,Holstein Kiel,NOR,MF,MF,23,20.6,volante_defensivo
1429,Gregor Kobel,Dortmund,SUI,GK,GK,26,32.0,goleiro_titular
1430,Robin Koch,Eint Frankfurt,GER,DF,DF,28,28.7,zagueiro_classico
1431,Derrick Köhn,Werder Bremen,GER,"DF,FW",DF,25,14.9,lateral_ofensivo
1432,Dominik Kohr,Mainz 05,GER,"DF,MF",DF,30,25.5,zagueiro_construtor
1433,Marco Komenda,Holstein Kiel,CRO,DF,DF,27,14.5,zagueiro_classico
1434,Mert Kömür,Augsburg,GER,MF,MF,19,7.3,meia_criativo
1435,Kacper Koscierski,Bochum,GER,DF,DF,17,0.1,zagueiro_classico
1436,Henri Koudossou,Augsburg,GER,DF,DF,24,8.3,lateral_ofensivo
1437,Konstantinos Koulierakis,Wolfsburg,GRE,DF,DF,20,27.4,zagueiro_construtor
1438,Matej Kovar,Leverkusen,CZE,GK,GK,24,5.0,goleiro_joia
1439,Andrej Kramarić,Hoffenheim,CRO,"MF,FW",MF,33,30.7,box_to_box
1440,Frans Krätzig,Heidenheim,GER,"DF,MF",DF,21,13.5,lateral_ofensivo
1441,Frans Krätzig,Stuttgart,GER,DF,DF,21,0.6,zagueiro_classico
1442,Tom Krauß,Bochum,GER,MF,MF,23,12.0,volante_defensivo
1443,Rasmus Kristensen,Eint Frankfurt,DEN,DF,DF,27,27.9,lateral_ofensivo
1444,Lukas Kübler,Freiburg,GER,DF,DF,31,20.5,zagueiro_construtor
1445,Jonah Kusi-Asare,Bayern Munich,SWE,FW,FW,17,0.0,centroavante_goleador
1446,Moritz-Broni Kwarteng,Bochum,GHA,"MF,FW",MF,26,1.9,volante_defensivo
1447,Nediljko Labrović,Augsburg,CRO,GK,GK,24,15.0,goleiro_joia
1448,Konrad Laimer,Bayern Munich,AUT,DF,DF,27,18.9,zagueiro_construtor
1449,Stefan Lainer,Gladbach,AUT,DF,DF,31,8.4,zagueiro_construtor
1450,Hugo Larsson,Eint Frankfurt,SWE,MF,MF,20,26.6,volante_defensivo
1451,Diogo Leite,Union Berlin,POR,DF,DF,25,28.3,zagueiro_construtor
1452,Maxim Leitsch,Mainz 05,GER,DF,DF,26,7.5,zagueiro_classico
1453,Jamie Leweling,Stuttgart,GER,"MF,FW",MF,23,18.5,box_to_box
1454,Philipp Lienhart,Freiburg,AUT,DF,DF,28,30.8,zagueiro_construtor
1455,Marin Ljubicic,Union Berlin,CRO,"FW,MF",FW,22,3.1,segundo_atacante
1456,Anthony Losilla,Bochum,FRA,MF,MF,38,12.6,volante_defensivo
1457,Yannik Lührs,Dortmund,GER,DF,DF,20,1.4,zagueiro_classico
1458,Castello Lukeba,RB Leipzig,FRA,DF,DF,21,17.5,zagueiro_construtor
1459,Senne Lynen,Werder Bremen,BEL,MF,MF,25,30.4,volante_defensivo
1460,Shuto Machino,Holstein Kiel,JPN,"FW,MF",FW,24,21.7,ponta_dribllador
1461,Arne Maier,Augsburg,GER,MF,MF,25,10.4,volante_defensivo
1462,Patrick Mainka,Heidenheim,GER,DF,DF,29,34.0,zagueiro_construtor
1463,Lovro Majer,Wolfsburg,CRO,MF,MF,26,3.4,meia_criativo
1464,Jordy Makengo,Freiburg,FRA,DF,DF,22,8.3,zagueiro_classico
1465,Jarzinho Malanga,Stuttgart,GER,DF,DF,18,0.0,zagueiro_classico
1466,Julián Malatini,Werder Bremen,ARG,DF,DF,23,5.0,zagueiro_classico
1467,Donyell Malen,Dortmund,NED,"FW,MF",FW,25,6.8,centroavante_goleador
1468,Lennard Maloney,Heidenheim,USA,MF,MF,24,8.4,volante_defensivo
1469,Lennard Maloney,Mainz 05,USA,MF,MF,24,0.3,volante_defensivo
1470,Johan Manzambi,Freiburg,SUI,"FW,MF",FW,18,3.7,centroavante_goleador
1471,Omar Marmoush,Eint Frankfurt,EGY,FW,FW,25,16.1,ponta_dribllador
1472,Giorgos Masouras,Bochum,GRE,"FW,MF",FW,30,11.7,ponta_dribllador
1473,Erhan Mašović,Bochum,SRB,DF,DF,25,10.1,zagueiro_classico
1474,Igor Matanovic,Eint Frankfurt,CRO,FW,FW,21,3.5,centroavante_goleador
1475,Chrislain Matsima,Augsburg,FRA,DF,DF,22,28.3,zagueiro_construtor
1476,Jean Mattéo Bahoya,Eint Frankfurt,FRA,"MF,FW",MF,19,10.2,meia_criativo
1477,Maurides,St. Pauli,BRA,FW,FW,30,0.0,centroavante_goleador
1478,Keke Maximilian Topp,Werder Bremen,GER,"FW,MF",FW,20,2.8,segundo_atacante
1479,Jakov Medić,Bochum,CRO,DF,DF,25,17.8,zagueiro_classico
1480,Connor Metcalfe,St. Pauli,AUS,"MF,FW",MF,24,4.0,volante_defensivo
1481,Karol Mets,St. Pauli,EST,DF,DF,31,10.0,zagueiro_classico
1482,Alexander Meyer,Dortmund,GER,GK,GK,33,2.0,goleiro_reserva
1483,Florian Micheler,Hoffenheim,AUT,MF,MF,19,0.4,volante_defensivo
1484,Enzo Millot,Stuttgart,FRA,"MF,FW",MF,22,20.5,box_to_box
1485,Kim Min-jae,Bayern Munich,KOR,DF,DF,27,25.4,zagueiro_construtor
1486,Maximilian Mittelstädt,Stuttgart,GER,DF,DF,27,27.4,lateral_ofensivo
1487,Koji Miyoshi,Bochum,JPN,"FW,MF",FW,27,5.2,centroavante_goleador
1488,Max Moerstedt,Hoffenheim,GER,FW,FW,19,5.0,segundo_atacante
1489,David Mokwa,Hoffenheim,FRA,"DF,FW",DF,20,0.2,zagueiro_classico
1490,Steve Mounié,Augsburg,BEN,"FW,MF",FW,29,3.9,centroavante_goleador
1491,Nordi Mukiele,Leverkusen,FRA,DF,DF,26,10.0,zagueiro_construtor
1492,Florian Müller,Freiburg,GER,GK,GK,26,8.4,goleiro_joia
1493,Kevin Müller,Heidenheim,GER,GK,GK,33,32.7,goleiro_titular
1494,Marius Müller,Wolfsburg,GER,GK,GK,31,5.3,goleiro_reserva
1495,Thomas Müller,Bayern Munich,GER,"MF,FW",MF,34,13.6,meia_criativo
1496,Jamal Musiala,Bayern Munich,GER,MF,MF,21,20.0,box_to_box
1497,Florent Muslija,Freiburg,KVX,"FW,MF",FW,26,1.9,segundo_atacante
1498,Phillipp Mwene,Mainz 05,AUT,DF,DF,30,29.0,lateral_ofensivo
1499,Joakim Mæhle,Wolfsburg,DEN,DF,DF,27,24.3,lateral_ofensivo
1500,Nathan N'Goumou,Gladbach,CMR,FW,FW,24,9.2,ponta_dribllador
1501,Stanley N'Soki,Hoffenheim,FRA,DF,DF,25,14.5,zagueiro_classico
1502,Nikolas Nartey,Stuttgart,DEN,MF,MF,24,0.2,volante_defensivo
1503,Paul Nebel,Mainz 05,GER,MF,MF,21,26.1,box_to_box
