rk,player,squad,status,page_title,description,image_url,file
1358,Álex Grimaldo,Leverkusen,ok,Álex Grimaldo,Spanish footballer (born 1995),https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Alex_Grimaldo_2020.png/500px-Alex_Grimaldo_2020.png,
1359,Pascal Groß,Dortmund,ok,Pascal Groß,German footballer (born 1991),https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Pascal_Gross.jpg/500px-Pascal_Gross.jpg,
1360,Marco Grüll,Werder Bremen,ok,Marco Grüll,Austrian footballer (born 1998),https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Austria_national_under-21_football_team_-_Teamcamp_October_2019_%2831%29.jpg/500px-Austria_national_under-21_football_team_-_Teamcamp_October_2019_%2831%29.jpg,
1361,Raphaël Guerreiro,Bayern Munich,ok,Raphaël Guerreiro,Footballer (born 1993),https://upload.wikimedia.org/wikipedia/commons/2/22/Rapha%C3%ABl_Guerreiro_WC2022.jpg,
1362,Morgan Guilavogui,St. Pauli,ok,Morgan Guilavogui,Footballer (born 1998),https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Morgan_Guilavogui_4.jpg/500px-Morgan_Guilavogui_4.jpg,
1363,Serhou Guirassy,Dortmund,ok,Serhou Guirassy,Footballer (born 1996),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Serhou_Guirassy_2024_%28cropped%29.jpg/500px-Serhou_Guirassy_2024_%28cropped%29.jpg,
1364,Péter Gulácsi,RB Leipzig,ok,Péter Gulácsi,Hungarian footballer (born 1990),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/2020-03-10_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League_Achtelfinale%2C_RB_Leipzig_-_Tottenham_Hotspur_1DX_3666_by_Stepro.jpg/500px-2020-03-10_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League_Achtelfinale%2C_RB_Leipzig_-_Tottenham_Hotspur_1DX_3666_by_Stepro.jpg,
1365,Robert Gumny,Augsburg,ok,Robert Gumny,Polish footballer (born 1998),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Robert_Gumny_2017.jpg/500px-Robert_Gumny_2017.jpg,
1366,Christian Günter,Freiburg,ok,Christian Günter,German footballer (born 1993),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Christian_G%C3%BCnter_%282025_-_1%29.jpg/500px-Christian_G%C3%BCnter_%282025_-_1%29.jpg,
1367,Janik Haberer,Union Berlin,ok,Janik Haberer,German footballer,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/20161011_U21_AUT_GER_9305.jpg/500px-20161011_U21_AUT_GER_9305.jpg,
1368,Robin Hack,Gladbach,no_photo,Robin Hack,German footballer (born 1998),,
1369,Amadou Haidara,RB Leipzig,ok,Amadou Haidara,Malian footballer (born 1998),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/FC_Admira_Wacker_M%C3%B6dling_vs._FC_Red_Bull_Salzburg_2018-04-15_%28035%29.jpg/500px-FC_Admira_Wacker_M%C3%B6dling_vs._FC_Red_Bull_Salzburg_2018-04-15_%28035%29.jpg,
1370,Andreas Hanche-Olsen,Mainz 05,ok,Andreas Hanche-Olsen,Norwegian footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Andreas_Hanche-Olsen_%28cropped%29.jpg/500px-Andreas_Hanche-Olsen_%28cropped%29.jpg,
1371,Phil Harres,Holstein Kiel,ok,Phil Harres,German footballer (born 2002),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/2021-05-12_SG_Dynamo_Dresden_gegen_Bischofswerdaer_FV_08_%28Wernesgr%C3%BCner_Sachsenpokal_2020-21%29_by_Sandro_Halank%E2%80%93117.jpg/500px-2021-05-12_SG_Dynamo_Dresden_gegen_Bischofswerdaer_FV_08_%28Wernesgr%C3%BCner_Sachsenpokal_2020-21%29_by_Sandro_Halank%E2%80%93117.jpg,
1372,Ramon Hendriks,Stuttgart,ok,Ramon Hendriks,Dutch footballer,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/FC_Red_Bull_Salzburg_versus_Feyenoord_Rotterdam_%28Testspiel_12._Juli_2019%29_20_%28cropped%29.jpg/500px-FC_Red_Bull_Salzburg_versus_Feyenoord_Rotterdam_%28Testspiel_12._Juli_2019%29_20_%28cropped%29.jpg,
1373,Paul Hennrich,Hoffenheim,ok,TSG 1899 Hoffenheim II,"German football club, based in Hoffenheim",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Logo_TSG_Hoffenheim.svg/500px-Logo_TSG_Hoffenheim.svg.png,
1374,Benjamin Henrichs,RB Leipzig,ok,Benjamin Henrichs,German footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/5/5f/Benjamin_Henrichs_for_RB_Leipzig_in_2022_%28cropped%29.jpg,
1375,Mario Hermoso,Leverkusen,ok,Mario Hermoso,Spanish footballer (born 1995),https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Mario_Hermoso_2019.jpg/500px-Mario_Hermoso_2019.jpg,
1376,Piero Hincapié,Leverkusen,ok,Piero Hincapié,Ecuadorian footballer (born 2002),https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Piero_Hincapie_Cote_D%27Ivoire_v_Ecuador_14_June_2026-247_%28cropped%29.jpg/500px-Piero_Hincapie_Cote_D%27Ivoire_v_Ecuador_14_June_2026-247_%28cropped%29.jpg,
1377,Adam Hložek,Hoffenheim,ok,Adam Hložek,Czech footballer (born 2002),https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Adam_Hlo%C5%BEek%2C_2022-07-31%2C_Saisoner%C3%B6ffnung_Bayer_04%2C_Leverkusen_%282%29_%28cropped%29.jpg/500px-Adam_Hlo%C5%BEek%2C_2022-07-31%2C_Saisoner%C3%B6ffnung_Bayer_04%2C_Leverkusen_%282%29_%28cropped%29.jpg,
1378,Nicolas Höfler,Freiburg,ok,Nicolas Höfler,German footballer,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Nicolas_H%C3%B6fler.jpg/500px-Nicolas_H%C3%B6fler.jpg,
1379,Jonas Hofmann,Leverkusen,ok,Jonas Hofmann,German footballer (born 1992),https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/2022128153308_2022-05-08_Fussball_Eintracht_Frankfurt_vs_Borussia_M%C3%B6nchengladbach_-_Sven_-_1D_X_MK_II_-_0729_-_B70I6840_%28cropped%29_%28cropped%29.jpg/500px-2022128153308_2022-05-08_Fussball_Eintracht_Frankfurt_vs_Borussia_M%C3%B6nchengladbach_-_Sven_-_1D_X_MK_II_-_0729_-_B70I6840_%28cropped%29_%28cropped%29.jpg,
1380,Philipp Hofmann,Bochum,ok,Philipp Hofmann,German footballer,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/PhilippHofmann.jpg/500px-PhilippHofmann.jpg,
1381,Lucas Höler,Freiburg,ok,Lucas Höler,German footballer,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Lucas_H%C3%B6ler_%282019_-_2%29.jpg/500px-Lucas_H%C3%B6ler_%282019_-_2%29.jpg,
1382,Benedict Hollerbach,Union Berlin,ok,Benedict Hollerbach,German footballer (born 2001),https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/U19_DFB_Perspektivteam%2C_Duisburg-Wedau.jpg/500px-U19_DFB_Perspektivteam%2C_Duisburg-Wedau.jpg,
1383,Lewis Holtby,Holstein Kiel,ok,Lewis Holtby,German footballer (born 1990),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/2025-03-05_Lewis_Holtby_Holstein_Kiel_pic4.jpg/500px-2025-03-05_Lewis_Holtby_Holstein_Kiel_pic4.jpg,
1384,Gerrit Holtmann,Bochum,no_photo,Gerrit Holtmann,Filipino footballer (born 1995),,
1385,Franck Honorat,Gladbach,ok,Franck Honorat,French footballer (born 1996),https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/RC_Lens_-_Clermont_Foot_63_%2804-05-2019%29_55.jpg/500px-RC_Lens_-_Clermont_Foot_63_%2804-05-2019%29_55.jpg,
1386,Mathias Honsak,Heidenheim,ok,Mathias Honsak,Austrian footballer,https://upload.wikimedia.org/wikipedia/commons/3/3d/20150328_1426_U19_AUTHRV_1333.jpg,
1387,Timo Horn,Bochum,ok,Timo Horn,German footballer (born 1993),https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/FC_RB_salzburg_gegen_SK_Sturm_Graz_%282024-02-09%29_08.jpg/500px-FC_RB_salzburg_gegen_SK_Sturm_Graz_%282024-02-09%29_08.jpg,
1388,Lukáš Hrádecký,Leverkusen,ok,Lukas Hradecky,Finland international footballer (born 1989),https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Luk%C3%A1%C5%A1_Hr%C3%A1deck%C3%BD%2C_2022-07-31%2C_Saisoner%C3%B6ffnung_Bayer_04%2C_Leverkusen_%281%29.jpg/500px-Luk%C3%A1%C5%A1_Hr%C3%A1deck%C3%BD%2C_2022-07-31%2C_Saisoner%C3%B6ffnung_Bayer_04%2C_Leverkusen_%281%29.jpg,
1389,Robin Hranáč,Hoffenheim,no_photo,Robin Hranáč,Czech footballer (born 2000),,
1390,Hong Hyunseok,Mainz 05,ok,Hong Hyun-seok,South Korean footballer (born 1999),https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/%ED%99%8D%ED%98%84%EC%84%9D_%EC%9D%B8%ED%84%B0%EB%B7%B0.jpg/500px-%ED%99%8D%ED%98%84%EC%84%9D_%EC%9D%B8%ED%84%B0%EB%B7%B0.jpg,
1391,Oscar Højlund,Eint Frankfurt,ok,Oscar Højlund,Danish footballer (born 2005),https://upload.wikimedia.org/wikipedia/commons/8/8a/Oscar_H%C3%B8jlund%2C_Vejle_Boldklub_-_FC_K%C3%B8benhavn%2C_29._July_2023_%28cropped%29.jpg,
1392,Arijon Ibrahimović,Bayern Munich,no_photo,Arijon Ibrahimović,German footballer (born 2005),,
1393,Andrej Ilic,Union Berlin,no_photo,Andrej Ilić,Serbian footballer (born 2000),,
1394,Jackson Irvine,St. Pauli,ok,Jackson Irvine,Australian soccer player (born 1993),https://upload.wikimedia.org/wikipedia/commons/6/66/4822293_AE7I6590_%28Jackson_Irvine%29.jpg,
1395,Ko Itakura,Gladbach,ok,Kō Itakura,Japanese footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ko_Itakura_%28cropped%29.jpg/500px-Ko_Itakura_%28cropped%29.jpg,
1396,Hiroki Ito,Bayern Munich,ok,"Hiroki Itō (footballer, born 1999)",Japanese footballer (born 1999),https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Hiroki_Ito_VfB_Stuttgart.jpg/500px-Hiroki_Ito_VfB_Stuttgart.jpg,
1397,Marko Ivezić,Holstein Kiel,ok,Marko Ivezić,Serbian footballer (born 2001),https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/2026-03-04_Marko_Ivezi%C4%87.jpg/500px-2026-03-04_Marko_Ivezi%C4%87.jpg,
1398,Lee Jae-sung,Mainz 05,ok,Lee Jae-sung,South Korean footballer (born 1992),https://upload.wikimedia.org/wikipedia/commons/e/e1/Asian_Nations_Cup_-_Jordan_and_South_Korea_%2874%29_%28cropped%29_2.jpg,
1399,Kristijan Jakić,Augsburg,ok,Kristijan Jakić,Croatian footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Kristijan-Jakic.png/500px-Kristijan-Jakic.png,
1400,Luca Jaquez,Stuttgart,no_photo,Luca Jaquez,Swiss footballer (born 2003),,
1401,Dominik Javorček,Holstein Kiel,ok,Dominik Javorček,Slovak footballer,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/2025-02-19_Dominik_Javorcek_1.jpg/500px-2025-02-19_Dominik_Javorcek_1.jpg,
1402,Finn Jeltsch,Stuttgart,no_photo,Finn Jeltsch,German footballer (born 2006),,
1403,Fredrik Jensen,Augsburg,ok,"Fredrik Jensen (footballer, born 1997)",Finnish footballer,https://upload.wikimedia.org/wikipedia/commons/0/01/Fredrik_jensen_-1493447439.png,
1404,Moritz Jenz,Mainz 05,no_photo,Moritz Jenz,German football player (born 1999),,
1405,Carl Johansson,Holstein Kiel,no_photo,Carl Johansson,Topics referred to by the same term,,
1406,Anthony Jung,Werder Bremen,ok,Anthony Jung,German footballer (born 1991),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Anthony_Jung.JPG/500px-Anthony_Jung.JPG,
1407,Josip Juranović,Union Berlin,ok,Josip Juranović,Croatian footballer (born 1995),https://upload.wikimedia.org/wikipedia/commons/a/a4/Josip_Juranovic_2022.jpg,
1408,David Jurásek,Hoffenheim,no_photo,David Jurásek,Czech footballer (born 2000),,
1409,Yusuf Kabadayı,Augsburg,no_photo,Yusuf Kabadayı,German footballer (born 2004),,
1410,Almugera Kabar,Dortmund,no_photo,Almugera Kabar,German footballer,,
1411,Issa Kaboré,Werder Bremen,ok,Issa Kaboré,Burkinabé footballer (born 2001),https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Issa_Kabor%C3%A9_%282021%29.jpg/500px-Issa_Kabor%C3%A9_%282021%29.jpg,
1412,Pavel Kadeřábek,Hoffenheim,ok,Pavel Kadeřábek,Czech footballer (born 1992),https://upload.wikimedia.org/wikipedia/commons/6/67/14-06-03-%C4%8Cesko-Rakousko-Olomouc-nr02-1.jpg,
1413,Jakub Kamiński,Wolfsburg,no_photo,Jakub Kamiński,Polish footballer (born 2002),,
1414,Kevin Kampl,RB Leipzig,ok,Kevin Kampl,Slovenian footballer (born 1990),https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/2022-04-20_Fu%C3%9Fball%2C_M%C3%A4nner%2C_DFB-Pokal%2C_RB_Leipzig_-_1._FC_Union_Berlin_1DX_8279_by_Stepro.jpg/500px-2022-04-20_Fu%C3%9Fball%2C_M%C3%A4nner%2C_DFB-Pokal%2C_RB_Leipzig_-_1._FC_Union_Berlin_1DX_8279_by_Stepro.jpg,
1415,Harry Kane,Bayern Munich,ok,Harry Kane,English footballer (born 1993),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/The_Prime_Minister_at_St_George%27s_Park_with_Gareth_Southgate_on_October_10%2C_2023_%28Harry_Kane%29.jpg/500px-The_Prime_Minister_at_St_George%27s_Park_with_Gareth_Southgate_on_October_10%2C_2023_%28Harry_Kane%29.jpg,
1416,Atakan Karazor,Stuttgart,ok,Atakan Karazor,German-born Turkish footballer (born 1996),https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Atakan_karazor.jpg/500px-Atakan_karazor.jpg,
1417,Mikkel Kaufmann,Heidenheim,ok,Mikkel Kaufmann,Danish footballer (born 2001),https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Mikkel_Kaufmann.jpg/500px-Mikkel_Kaufmann.jpg,
1418,Yannik Keitel,Stuttgart,no_photo,Yannik Keitel,German footballer (born 2000),,
1419,Andu Kelati,Holstein Kiel,ok,Andu Kelati,German footballer (born 2002),https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/2026-03-04_Andu_Kelati.jpg/500px-2026-03-04_Andu_Kelati.jpg,
1420,Thomas Keller,Heidenheim,no_photo,Thomas Keller (footballer),German footballer (born 1999),,
1421,Aljoscha Kemlein,Union Berlin,ok,Aljoscha Kemlein,German footballer (born 2000),https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Aljoscha_Kemlein_%282022%29.jpg/500px-Aljoscha_Kemlein_%282022%29.jpg,
1422,Luca Kerber,Heidenheim,no_photo,Luca Kerber,German footballer,,
1423,Rani Khedira,Union Berlin,ok,Rani Khedira,Footballer (born 1994),https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Rani_Khedira_2023.jpg/500px-Rani_Khedira_2023.jpg,
1424,Joshua Kimmich,Bayern Munich,ok,Joshua Kimmich,German footballer (born 1995),https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/2019-06-11_Fu%C3%9Fball%2C_M%C3%A4nner%2C_L%C3%A4nderspiel%2C_Deutschland-Estland_StP_2078_LR10_by_Stepro_%28cropped%29.jpg/500px-2019-06-11_Fu%C3%9Fball%2C_M%C3%A4nner%2C_L%C3%A4nderspiel%2C_Deutschland-Estland_StP_2078_LR10_by_Stepro_%28cropped%29.jpg,
1425,Tim Kleindienst,Gladbach,ok,Tim Kleindienst,German footballer,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Kleindienst%2C_Tim_Heidenheim_16-17_%283%29_WP.jpg/500px-Kleindienst%2C_Tim_Heidenheim_16-17_%283%29_WP.jpg,
1426,Lukas Klostermann,RB Leipzig,ok,Lukas Klostermann,German footballer (born 1996),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/2020-03-10_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League_Achtelfinale%2C_RB_Leipzig_-_Tottenham_Hotspur_1DX_3669_by_Stepro.jpg/500px-2020-03-10_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League_Achtelfinale%2C_RB_Leipzig_-_Tottenham_Hotspur_1DX_3669_by_Stepro.jpg,
1427,Ansgar Knauff,Eint Frankfurt,ok,Ansgar Knauff,German footballer (born 2002),https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/2022128173650_2022-05-08_Fussball_Eintracht_Frankfurt_vs_Borussia_M%C3%B6nchengladbach_-_Sven_-_1D_X_MK_II_-_0682_-_AK8I7417_%28Ansgar_Knauff_cropped%29.jpg/500px-2022128173650_2022-05-08_Fussball_Eintracht_Frankfurt_vs_Borussia_M%C3%B6nchengladbach_-_Sven_-_1D_X_MK_II_-_0682_-_AK8I7417_%28Ansgar_Knauff_cropped%29.jpg,
1428,Magnus Knudsen,Holstein Kiel,ok,Magnus Knudsen,Norwegian footballer (born 2001),https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/2025-03-05_Magnus_Knudsen_Holstein_Kiel_pic1.jpg/500px-2025-03-05_Magnus_Knudsen_Holstein_Kiel_pic1.jpg,
1429,Gregor Kobel,Dortmund,ok,Gregor Kobel,Swiss footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/2023-08-12_TSV_Schott_Mainz_gegen_Borussia_Dortmund_%28DFB-Pokal_2023-24%29_by_Sandro_Halank%E2%80%93090.jpg/500px-2023-08-12_TSV_Schott_Mainz_gegen_Borussia_Dortmund_%28DFB-Pokal_2023-24%29_by_Sandro_Halank%E2%80%93090.jpg,
1430,Robin Koch,Eint Frankfurt,no_photo,Robin Koch,German footballer (born 1996),,
1431,Derrick Köhn,Werder Bremen,ok,Derrick Köhn,Ghanaian footballer,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/FC_Liefering_gegen_FC_Bayern_M%C3%BCnchen_UDreiundzwanzig_37.jpg/500px-FC_Liefering_gegen_FC_Bayern_M%C3%BCnchen_UDreiundzwanzig_37.jpg,
1432,Dominik Kohr,Mainz 05,ok,Dominik Kohr,German footballer,https://upload.wikimedia.org/wikipedia/commons/8/8e/Metallist-Bayer-04_%289%29.jpg,
1433,Marco Komenda,Holstein Kiel,ok,Marco Komenda,German footballer (born 1996),https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/2026-03-04_Marco_Komenda.jpg/500px-2026-03-04_Marco_Komenda.jpg,
1434,Mert Kömür,Augsburg,no_photo,Mert Kömür,German footballer,,
1435,Kacper Koscierski,Bochum,no_photo,Kacper Koscierski,German footballer,,
1436,Henri Koudossou,Augsburg,no_photo,Henri Koudossou,German footballer (born 1999),,
1437,Konstantinos Koulierakis,Wolfsburg,ok,Konstantinos Koulierakis,Greek footballer (born 2003),https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/GAE_-_PAOK_Saloniki_-_kouleriakis.jpg/500px-GAE_-_PAOK_Saloniki_-_kouleriakis.jpg,
1438,Matej Kovar,Leverkusen,ok,Matěj Kovář,Czech footballer (born 2000),https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Matj_kova-1772635856_%28cropped%29.JPG/500px-Matj_kova-1772635856_%28cropped%29.JPG,
1439,Andrej Kramarić,Hoffenheim,ok,Andrej Kramarić,Croatian footballer (born 1991),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Andrej_Kramari%C4%87_2018.jpg/500px-Andrej_Kramari%C4%87_2018.jpg,
1440,Frans Krätzig,Heidenheim,ok,Frans Krätzig,German footballer (born 2003),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/FC_Salzburg_gegen_SK_Brann_Bergen_%282025-07-30_Championsleague_Qualifikation_Zweite_Runde_R%C3%BCckspiel%29_04.jpg/500px-FC_Salzburg_gegen_SK_Brann_Bergen_%282025-07-30_Championsleague_Qualifikation_Zweite_Runde_R%C3%BCckspiel%29_04.jpg,
1441,Frans Krätzig,Stuttgart,ok,Frans Krätzig,German footballer (born 2003),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/FC_Salzburg_gegen_SK_Brann_Bergen_%282025-07-30_Championsleague_Qualifikation_Zweite_Runde_R%C3%BCckspiel%29_04.jpg/500px-FC_Salzburg_gegen_SK_Brann_Bergen_%282025-07-30_Championsleague_Qualifikation_Zweite_Runde_R%C3%BCckspiel%29_04.jpg,
1442,Tom Krauß,Bochum,ok,Tom Krauß,German footballer (born 2001),https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/2019-07-12_Fu%C3%9Fball%3B_Freundschaftsspiel_RB_Leipzig_-_FC_Z%C3%BCrich_1DX_1042_by_Stepro_%28cropped%29.jpg/500px-2019-07-12_Fu%C3%9Fball%3B_Freundschaftsspiel_RB_Leipzig_-_FC_Z%C3%BCrich_1DX_1042_by_Stepro_%28cropped%29.jpg,
1443,Rasmus Kristensen,Eint Frankfurt,ok,Rasmus Kristensen,Danish footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Rasmus_Nissen%2C_FC_RB_Salzburg_versus_Wolfsberger_AC_%2810._August_2019%29.jpg/500px-Rasmus_Nissen%2C_FC_RB_Salzburg_versus_Wolfsberger_AC_%2810._August_2019%29.jpg,
1444,Lukas Kübler,Freiburg,no_photo,Lukas Kübler,German footballer,,
1445,Jonah Kusi-Asare,Bayern Munich,ok,Jonah Kusi-Asare,Swedish footballer (born 2007),https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Jonah_Kusi-Asare_%28AIK%2C_23_October_2023%29.jpg/500px-Jonah_Kusi-Asare_%28AIK%2C_23_October_2023%29.jpg,
1446,Moritz-Broni Kwarteng,Bochum,no_photo,Moritz Kwarteng,German footballer (born 1998),,
1447,Nediljko Labrović,Augsburg,no_photo,Nediljko Labrović,Croatian footballer (born 1999),,
1448,Konrad Laimer,Bayern Munich,ok,Konrad Laimer,Austrian footballer (born 1997),https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/2022-07-21_Fu%C3%9Fball%2C_M%C3%A4nner%2CFreundschaftsspiel%2C_RB_Leipzig_-_FC_Liverpool_1DX_2137_by_Stepro_%28cropped%29.jpg/500px-2022-07-21_Fu%C3%9Fball%2C_M%C3%A4nner%2CFreundschaftsspiel%2C_RB_Leipzig_-_FC_Liverpool_1DX_2137_by_Stepro_%28cropped%29.jpg,
1449,Stefan Lainer,Gladbach,ok,Stefan Lainer,Austrian footballer (born 1992),https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/FC_Red_Bull_Salzburg_gegen_Grazer_AK_%282025-08-09_Bundesliga_Zweite_Runde%29_11.jpg/500px-FC_Red_Bull_Salzburg_gegen_Grazer_AK_%282025-08-09_Bundesliga_Zweite_Runde%29_11.jpg,
1450,Hugo Larsson,Eint Frankfurt,ok,Hugo Larsson (footballer),Swedish footballer (born 2004),https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Hugo_Larsson_%282023%29.jpg/500px-Hugo_Larsson_%282023%29.jpg,
1451,Diogo Leite,Union Berlin,ok,"Diogo Leite (footballer, born 1999)",Portuguese footballer (born 1999),https://upload.wikimedia.org/wikipedia/commons/e/ef/Diogo_Leite.jpg,
1452,Maxim Leitsch,Mainz 05,ok,Maxim Leitsch,German footballer,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Maxim_Leitsch.jpg/500px-Maxim_Leitsch.jpg,
1453,Jamie Leweling,Stuttgart,ok,Jamie Leweling,German footballer (born 2001),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Jamie_leweling.jpg/500px-Jamie_leweling.jpg,
1454,Philipp Lienhart,Freiburg,ok,Philipp Lienhart,Austrian footballer (born 1996),https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Austria_national_under-21_football_team_-_Teamcamp_June_2017_%28057%29.jpg/500px-Austria_national_under-21_football_team_-_Teamcamp_June_2017_%28057%29.jpg,
1455,Marin Ljubicic,Union Berlin,ok,"Marin Ljubičić (footballer, born 2002)",Croatian footballer,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/FC_Red_Bull_Salzburg_gegen_Linzer_ASK_%282022-10-01%29_29_%28cropped%29.jpg/500px-FC_Red_Bull_Salzburg_gegen_Linzer_ASK_%282022-10-01%29_29_%28cropped%29.jpg,
1456,Anthony Losilla,Bochum,ok,Anthony Losilla,French professional footballer (born 1986),https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/AnthonyLosilla.jpg/500px-AnthonyLosilla.jpg,
1457,Yannik Lührs,Dortmund,no_photo,Yannik Lührs,German footballer (born 2003),,
1458,Castello Lukeba,RB Leipzig,ok,Castello Lukeba,French footballer (born 2002),https://upload.wikimedia.org/wikipedia/commons/4/4d/Castello_Lukeba_in_2022.png,
1459,Senne Lynen,Werder Bremen,ok,Senne Lynen,Belgian footballer (born 1999),https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/RC_Lens_-_Union-Saint-Gilloise_%2805-08-2020%29_11.jpg/500px-RC_Lens_-_Union-Saint-Gilloise_%2805-08-2020%29_11.jpg,
1460,Shuto Machino,Holstein Kiel,ok,Shūto Machino,Japanese footballer (born 1999),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/2025-04-15_Sh%C5%ABto_Machino.jpg/500px-2025-04-15_Sh%C5%ABto_Machino.jpg,
1461,Arne Maier,Augsburg,ok,Arne Maier,German footballer (born 1999),https://upload.wikimedia.org/wikipedia/commons/a/af/Arne_Maier.jpg,
1462,Patrick Mainka,Heidenheim,no_photo,Patrick Mainka,German footballer (born 1994),,
1463,Lovro Majer,Wolfsburg,ok,Lovro Majer,Croatian footballer (born 1998),https://upload.wikimedia.org/wikipedia/commons/f/fc/Lovro-Majer.png,
1464,Jordy Makengo,Freiburg,ok,Jordy Makengo,French footballer (born 2001),https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/MakengoFreiburg2023.jpg/500px-MakengoFreiburg2023.jpg,
1465,Jarzinho Malanga,Stuttgart,no_photo,Jarzinho Malanga,German association football player,,
1466,Julián Malatini,Werder Bremen,no_photo,Julián Malatini,Argentine footballer (born 2001),,
1467,Donyell Malen,Dortmund,ok,Donyell Malen,Dutch footballer (born 1999),https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/DONYELL_MALEN_%E2%80%93_2023.08.12.jpg/500px-DONYELL_MALEN_%E2%80%93_2023.08.12.jpg,
1468,Lennard Maloney,Heidenheim,no_photo,Lennard Maloney,American soccer player (born 1999),,
1469,Lennard Maloney,Mainz 05,no_photo,Lennard Maloney,American soccer player (born 1999),,
1470,Johan Manzambi,Freiburg,no_photo,Johan Manzambi,Swiss footballer (born 2005),,
1471,Omar Marmoush,Eint Frankfurt,ok,Omar Marmoush,Egyptian footballer (born 1999),https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/OmarMarmoush.png/500px-OmarMarmoush.png,
